species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_uniformis_57318,mickey4-11-30-0_,SRR413605,5206,893526,132737,582609,2020,1217,77788,1666571,3468,5,1212,0
Bacteroides_uniformis_57318,700117303,700123827,4834,951496,142080,620368,1966,1133,82323,1775079,3702,9,1121,3
Bacteroides_uniformis_57318,mickey3-11-30-0_,700116505,4633,877090,130933,572052,1798,1099,76081,1636670,3405,7,1091,1
Bacteroides_uniformis_57318,SRR413602,SRR341718,3872,913399,135964,595709,1508,900,79504,1704056,3567,4,896,0
Bacteroides_uniformis_57318,700102432,ERR912078,4958,859281,127962,560130,1910,1201,74774,1602292,3324,3,1197,1
Bacteroides_uniformis_57318,700110419,700116076,4950,800153,118602,521623,1953,1187,70124,1491448,3297,7,1178,2
Bacteroides_uniformis_57318,700016142,700035861,3883,1019537,152555,664691,1530,924,88009,1902353,3711,9,915,0
Bacteroides_uniformis_57318,pluto3-11-30-0_,ERR912096,4754,947122,141350,617639,1889,1161,82295,1766905,3717,13,1145,3
Bacteroides_uniformis_57318,SRR413618,ERR912027,4772,870685,129731,567886,1841,1141,75582,1624740,3336,6,1133,2
Bacteroides_uniformis_57318,SRR413622,SRR413650,5262,861903,128500,562127,2042,1211,74813,1608256,3312,7,1203,1
Bacteroides_uniformis_57318,ERR912145,700037967,4300,879072,130828,573268,1670,1037,76529,1639714,3561,13,1024,0
Bacteroides_uniformis_57318,700097837,700106065,3975,985429,146965,642126,1577,921,85625,1836955,3798,13,908,0
Bacteroides_uniformis_57318,donald3-11-30-0_,700110419,4354,906232,134300,590528,1749,1039,79512,1688412,3660,10,1026,3
Bacteroides_uniformis_57318,700037868,700120753,4444,994399,148237,648199,1767,1020,86406,1854309,3882,7,1012,1
Bacteroides_uniformis_57318,700106170,700033153,4319,981277,146322,639733,1672,1071,85187,1830220,3792,7,1062,2
Bacteroides_uniformis_57318,700023066,700165311,5624,670503,99433,437112,2263,1208,58387,1250123,2826,9,1197,2
Bacteroides_uniformis_57318,pluto3-11-0-0_,700164192,4311,894398,133982,583362,1672,1046,77494,1669127,3465,8,1036,2
Bacteroides_uniformis_57318,700023578,ERR911975,4822,886136,131591,577687,1901,1125,77506,1652015,3540,8,1116,1
Bacteroides_uniformis_57318,SRR341636,ERR911981,4855,672061,100245,438257,1876,1176,58476,1253346,2949,16,1157,3
Bacteroides_uniformis_57318,SRR413585,700171916,5274,747765,111149,487457,2067,1214,65440,1393751,3180,6,1207,1
