species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Eubacterium_siraeum_57634,700021261,700021306,2435,1486392,215821,984604,1004,504,24710,111837,926,304,191111,872767,78,200,107330,2506483,4488,13733,321223,555,4,194,2,3,301,0
Eubacterium_siraeum_57634,700021261,700023267,2022,1484865,215438,983650,849,415,20663,94849,801,267,194775,888801,48,148,109252,2552618,4533,11750,272350,447,2,146,0,2,265,0
Eubacterium_siraeum_57634,700021261,700023845,1572,1474922,213646,977014,637,333,14852,67165,598,205,198794,909849,39,128,112097,2612827,4623,8241,192966,288,4,124,0,2,203,0
Eubacterium_siraeum_57634,700021261,700033153,1669,1482350,215158,981930,672,369,16188,72762,640,217,198970,909168,32,152,111804,2611098,4602,8939,208981,366,5,146,1,3,214,0
Eubacterium_siraeum_57634,700021261,700038761,1584,1478431,214322,979322,617,370,14652,66090,587,213,199670,913232,30,157,112444,2622599,4653,8103,189861,306,6,150,1,2,211,0
Eubacterium_siraeum_57634,700021261,700100022,2386,1488452,216200,985958,1005,487,23485,106486,970,367,192715,879472,35,120,108014,2525827,4575,13169,305779,510,1,119,0,2,365,0
Eubacterium_siraeum_57634,700021261,700106325,2054,1481658,215150,981425,828,450,19236,86821,775,266,195914,894604,53,184,110059,2569154,4599,10584,249453,426,3,180,1,3,263,0
Eubacterium_siraeum_57634,700021261,700113975,3040,1489756,216425,986855,1262,566,32651,148242,1217,414,183774,838613,45,152,103002,2408415,4422,18264,425823,639,1,151,0,2,412,0
Eubacterium_siraeum_57634,700021261,700114218,1641,1489256,216329,986560,652,387,15687,70491,600,209,200642,916069,52,178,112638,2630820,4749,8621,202522,330,1,176,1,2,207,0
Eubacterium_siraeum_57634,700021261,700117000,2000,1484952,215501,983611,843,382,19574,87952,797,247,195927,895659,46,135,110374,2572037,4566,10655,252769,432,1,133,1,3,244,0
Eubacterium_siraeum_57634,700021261,700165263,1848,1491535,216626,988027,742,387,18156,82046,704,239,198470,905981,38,148,111387,2601897,4659,10051,235703,384,2,145,1,2,237,0
Eubacterium_siraeum_57634,700021261,ERR912044,2464,1491405,216633,987952,1004,486,24033,108963,963,322,192600,878989,41,164,107863,2524544,4560,13547,312856,486,2,162,0,2,320,0
Eubacterium_siraeum_57634,700021261,ERR912132,2384,1481716,215258,981584,981,495,22845,102390,935,329,192413,879194,46,166,108102,2524923,4557,12608,294088,474,2,164,0,2,327,0
Eubacterium_siraeum_57634,700021306,700023267,1689,1486616,215799,984708,700,389,15096,69592,628,226,200703,915116,72,163,112753,2627909,4686,8474,199954,348,4,157,2,1,225,0
Eubacterium_siraeum_57634,700021306,700023845,1240,1476185,213905,977793,487,304,9885,45622,403,134,204020,932171,84,170,114973,2676776,4764,5538,131118,210,6,163,1,1,133,0
Eubacterium_siraeum_57634,700021306,700033153,1330,1483749,215416,982795,519,334,11647,53128,452,146,203769,929667,67,188,114487,2669759,4755,6443,152662,279,7,180,1,2,144,0
Eubacterium_siraeum_57634,700021306,700038761,1250,1480912,214812,980907,474,327,10603,48210,405,134,204209,932697,69,193,115030,2678273,4788,5838,138561,231,8,184,1,1,133,0
Eubacterium_siraeum_57634,700021306,700100022,2070,1489943,216481,986887,843,465,19037,87310,768,298,197444,899577,75,167,110526,2583489,4716,10843,250652,435,4,162,1,2,296,0
Eubacterium_siraeum_57634,700021306,700106325,1608,1485422,215786,983854,629,396,13302,60614,556,202,202484,923240,73,194,113726,2651200,4794,7280,174244,318,5,188,1,1,201,0
Eubacterium_siraeum_57634,700021306,700114218,1513,1489524,216426,986663,591,398,13732,62323,522,199,202694,924340,69,199,113813,2654368,4839,7536,179136,297,5,193,1,1,198,0
