species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_finegoldii_57739,700016960,700021123,511,2059341,294734,1342046,193,140,17013,77265,180,78,277721,1264781,13,62,188803,3599180,6360,11415,220005,375,0,62,0,0,78,0
Bacteroides_finegoldii_57739,700016960,700033153,297,2059247,294741,1341962,108,81,3007,13859,99,39,291734,1328103,9,42,198171,3779502,6636,2044,39440,93,0,42,0,0,39,0
Bacteroides_finegoldii_57739,700016960,700037967,509,2056505,294341,1340169,171,148,11392,50970,159,96,282949,1289199,12,52,192621,3668505,6471,7337,145324,249,1,51,0,0,96,0
Bacteroides_finegoldii_57739,700016960,700097688,180,2052834,293931,1337780,57,63,959,4504,47,17,292972,1333276,10,46,198808,3794444,6576,718,12770,24,1,45,0,0,17,0
Bacteroides_finegoldii_57739,700016960,700099886,321,2056819,294512,1340368,103,85,6970,30700,90,35,287542,1309668,13,50,195617,3726925,6462,4332,87639,129,1,49,0,0,35,0
Bacteroides_finegoldii_57739,700016960,700107189,360,2016767,287265,1314245,123,105,8405,39420,114,60,278860,1274825,9,45,190751,3627334,6390,6017,112093,150,0,44,1,0,60,0
Bacteroides_finegoldii_57739,700016960,700173483,316,2058985,294784,1341806,101,80,6826,30049,86,34,287958,1311757,15,46,195900,3732777,6594,4235,85780,132,1,45,0,0,34,0
Bacteroides_finegoldii_57739,700021123,700033153,736,2060486,294896,1342799,291,167,20143,91562,281,120,274753,1251237,10,47,186814,3560612,6285,13529,260698,459,0,47,0,0,120,0
Bacteroides_finegoldii_57739,700021123,700037967,937,2058591,294651,1341553,349,231,30868,138556,335,186,263783,1202997,14,45,179988,3422937,6066,20152,394847,669,0,45,0,1,185,0
Bacteroides_finegoldii_57739,700021123,700097688,619,2054397,294158,1338824,240,149,18174,82530,229,103,275984,1256294,11,46,187403,3575245,6234,12247,234953,390,1,45,0,0,103,0
