species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_vulgatus_57955,700023509,700117682,5833,1930062,268453,1254182,2179,1440,193800,3562332,6414,2,1437,1
Bacteroides_vulgatus_57955,700164050,700024545,30938,1410029,195224,916092,12139,5901,142346,2601442,4488,8,5887,6
Bacteroides_vulgatus_57955,1089279-24-0-0_,ERR912161,45417,1887779,263019,1227016,18231,7886,189190,3486254,5604,15,7867,4
Bacteroides_vulgatus_57955,700038386,700095717,6641,1910489,265654,1241416,2464,1491,191762,3526156,6330,5,1485,1
Bacteroides_vulgatus_57955,SRR341638,700117239,37867,1796484,249048,1167976,15263,6363,180612,3318072,5244,11,6347,5
Bacteroides_vulgatus_57955,700111296,mickey3-11-30-0_,6836,2006339,280335,1303929,2629,1604,200699,3704506,6582,8,1592,4
Bacteroides_vulgatus_57955,700038761,ERR912000,45114,1855450,258224,1205915,18064,7798,186353,3425773,5619,16,7778,4
Bacteroides_vulgatus_57955,1089274-24-7-0_,ERR912071,6661,2022563,282699,1314568,2460,1594,202254,3734871,6579,8,1585,1
Bacteroides_vulgatus_57955,ERR911959,SRR341651,7843,1958643,273557,1272937,3025,1764,195861,3616527,6423,7,1756,1
Bacteroides_vulgatus_57955,SRR413585,700038493,3793,1494892,207288,971615,1396,945,150768,2759646,4431,1,944,0
Bacteroides_vulgatus_57955,SRR341711,700096865,7652,1995524,278833,1296912,2846,1794,199512,3684798,6426,13,1781,0
Bacteroides_vulgatus_57955,700023603,ERR912068,34155,1513712,210279,983585,13512,6373,152518,2793500,4737,13,6357,3
Bacteroides_vulgatus_57955,700117682,ERR912142,34019,1515986,210204,985002,13381,6457,153084,2797176,4746,10,6445,2
Bacteroides_vulgatus_57955,700161872,700109383,6852,1820439,252418,1182664,2557,1631,183326,3358525,6141,6,1624,1
Bacteroides_vulgatus_57955,SRR341721,pluto4-11-7-0_,6373,1968716,274588,1279410,2339,1529,197048,3634669,6513,2,1526,1
Bacteroides_vulgatus_57955,700099512,700113810,31834,1445806,200424,939476,12498,6096,145598,2668369,4461,11,6082,3
Bacteroides_vulgatus_57955,ERR912163,SRR413658,46998,1940380,270709,1261484,18935,8214,194253,3584526,5673,15,8192,7
Bacteroides_vulgatus_57955,700113616,SRR413585,41589,1806973,250964,1174764,16742,7164,181704,3337353,5235,11,7147,6
Bacteroides_vulgatus_57955,ERR912189,ERR912145,6995,1997344,279158,1298193,2658,1628,199634,3688390,6555,6,1622,0
Bacteroides_vulgatus_57955,SRR413643,700013693,35524,1605171,223676,1043402,14130,6570,160669,2964749,4788,9,6557,4
