index,sample_1,sample_2,identical_fraction,num_blocks,num_identical_blocks
0,GCF_000012825.1,GCF_000273295.1,0.012711864406779662,472,6
1,GCF_000012825.1,GCF_000699845.1,0.13211382113821138,492,65
2,GCF_000012825.1,GCF_000699865.1,0.05399568034557235,463,25
3,GCF_000012825.1,GCF_002959625.1,1.0,619,619
4,GCF_000012825.1,GCF_003436175.1,0.11222444889779559,499,56
5,GCF_000012825.1,GCF_003436605.1,0.13518886679920478,503,68
6,GCF_000012825.1,GCF_003436855.1,0.13737373737373737,495,68
7,GCF_000012825.1,GCF_003437875.1,0.021321961620469083,469,10
8,GCF_000012825.1,GCF_003438765.1,0.035416666666666666,480,17
9,GCF_000012825.1,GCF_003438835.1,0.0395010395010395,481,19
10,GCF_000012825.1,GCF_003458385.1,0.053061224489795916,490,26
11,GCF_000012825.1,GCF_003459365.1,0.03925619834710744,484,19
12,GCF_000012825.1,GCF_003459535.1,0.23014256619144602,491,113
13,GCF_000012825.1,GCF_003459715.1,0.017094017094017096,468,8
14,GCF_000012825.1,GCF_003460125.1,0.182,500,91
15,GCF_000012825.1,GCF_003465015.1,0.14717741935483872,496,73
16,GCF_000012825.1,GCF_003466785.1,0.016666666666666666,480,8
17,GCF_000012825.1,GCF_003466945.1,0.14910536779324055,503,75
18,GCF_000012825.1,GCF_003467565.1,0.1364562118126273,491,67
19,GCF_000012825.1,GCF_003468905.1,0.0486815415821501,493,24
20,GCF_000012825.1,GCF_003469525.1,0.014644351464435146,478,7
21,GCF_000012825.1,GCF_003471775.1,0.05186721991701245,482,25
22,GCF_000012825.1,GCF_003473265.1,0.04842105263157895,475,23
23,GCF_000012825.1,GCF_003475435.1,0.20717131474103587,502,104
24,GCF_000012825.1,GCF_003475695.1,0.021052631578947368,475,10
25,GCF_000012825.1,GCF_003568805.2,0.04938271604938271,486,24
26,GCF_000012825.1,GCF_004167625.1,0.026476578411405296,491,13
27,GCF_000012825.1,GCF_007556395.1,0.036072144288577156,499,18
28,GCF_000012825.1,GCF_007556405.1,0.030181086519114688,497,15
29,GCF_000012825.1,GCF_008728395.1,0.006329113924050633,474,3
30,GCF_000012825.1,GCF_009025375.1,0.4115384615384615,520,214
31,GCF_000012825.1,GCF_012976275.1,0.033402922755741124,479,16
32,GCF_000012825.1,GCF_012976295.1,0.05241935483870968,496,26
33,GCF_000012825.1,GCF_012976745.1,0.028455284552845527,492,14
34,GCF_000012825.1,GCF_013368705.1,0.46484375,512,238
35,GCF_000012825.1,GCF_015549725.1,0.026804123711340205,485,13
36,GCF_000012825.1,GCF_015553265.1,0.034334763948497854,466,16
37,GCF_000012825.1,GCF_015555055.1,0.05708661417322835,508,29
38,GCF_000012825.1,GCF_015555645.1,0.43478260869565216,506,220
39,GCF_000012825.1,GCF_015557505.1,0.04246284501061571,471,20
40,GCF_000012825.1,GCF_015559705.1,0.027196652719665274,478,13
41,GCF_000012825.1,GCF_015559725.1,0.1653061224489796,490,81
42,GCF_000012825.1,GCF_015561035.1,0.008316008316008316,481,4
43,GCF_000012825.1,GCF_015667615.1,0.026052104208416832,499,13
44,GCF_000012825.1,GCF_015667825.1,0.06918238993710692,477,33
45,GCF_000012825.1,GCF_015668525.1,0.04439746300211417,473,21
46,GCF_000012825.1,GCF_016766915.1,0.9983870967741936,620,619
