species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Alistipes_finegoldii_56071,700122408,700037967,14700,1816815,322206,1188139,6277,3336,130298,3427330,6789,8,3324,4
Alistipes_finegoldii_56071,700172461,700165148,13519,1714003,300944,1119262,5616,3031,125580,3225570,6636,14,3008,9
Alistipes_finegoldii_56071,700014724,700107398,12420,1807806,319943,1181425,5256,2875,130470,3406848,6957,12,2858,5
Alistipes_finegoldii_56071,ERR912005,700013715,9715,1798124,317406,1175159,4136,2232,130157,3388438,6882,10,2220,2
Alistipes_finegoldii_56071,ERR911963,700161629,13976,1887653,335766,1234485,5919,3276,134981,3561238,7236,9,3261,6
Alistipes_finegoldii_56071,700014724,1089279-24-28-0_,11347,1768879,312954,1155794,4858,2524,127979,3332731,6672,4,2514,6
Alistipes_finegoldii_56071,ERR912085,700161742,20509,1808195,320301,1181452,8937,4266,130700,3406885,6771,18,4239,9
Alistipes_finegoldii_56071,700163772,700112755,13919,1833704,325455,1198430,5963,3227,131989,3456263,7038,11,3208,8
Alistipes_finegoldii_56071,700014837,700165148,11776,1633444,285213,1065841,4928,2558,120632,3070597,6294,18,2536,4
Alistipes_finegoldii_56071,700037738,700023509,11089,1700887,298034,1111128,4630,2609,124647,3202164,6573,16,2589,4
Alistipes_finegoldii_56071,700111223,700161219,14905,1842532,327176,1204767,6334,3485,132023,3475309,6969,8,3473,4
Alistipes_finegoldii_56071,700013715,ERR911968,23311,1755584,309812,1147272,9944,5021,127276,3308069,6471,17,4998,6
Alistipes_finegoldii_56071,700172870,700116358,15630,1841368,327072,1204068,6689,3637,131903,3473452,6849,7,3622,8
Alistipes_finegoldii_56071,700111223,700033502,12230,1768200,310551,1155853,5153,2755,128686,3332159,6714,14,2731,10
Alistipes_finegoldii_56071,ERR912118,700172870,15154,1843542,327380,1205477,6462,3557,132070,3477488,6873,7,3542,8
Alistipes_finegoldii_56071,700106646,700163811,14213,1847733,327783,1208045,6003,3304,132743,3484351,7041,11,3284,9
Alistipes_finegoldii_56071,700033153,700161856,20688,1670854,292896,1090538,8808,4265,122936,3142483,6195,14,4240,11
Alistipes_finegoldii_56071,700116296,700021295,14327,1891094,336289,1236896,6084,3344,135151,3568211,7326,16,3319,9
Alistipes_finegoldii_56071,700161629,700172870,15186,1846804,327988,1207649,6396,3523,132281,3483685,6981,9,3509,5
Alistipes_finegoldii_56071,700024998,700163868,22458,1698608,298244,1109923,9590,4703,124111,3199475,6183,13,4681,9
