species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Lachnospiraceae_bacterium_51870,700014498,700021295,806,1866366,262655,1218137,265,281,194968,3452561,6882,3,278,0
Lachnospiraceae_bacterium_51870,700014498,700023113,873,1861946,262052,1215276,285,338,194439,3444507,6882,1,337,0
Lachnospiraceae_bacterium_51870,700014498,700023788,776,1837476,258522,1199282,247,280,191724,3399297,6825,4,276,0
Lachnospiraceae_bacterium_51870,700014498,700023872,1217,1848191,260356,1206304,388,442,192907,3419186,6819,4,438,0
Lachnospiraceae_bacterium_51870,700014498,700105049,1204,1860132,261747,1214015,382,443,194338,3440840,6867,2,441,0
Lachnospiraceae_bacterium_51870,700014498,700111296,1212,1863356,262372,1216307,378,444,194577,3447456,6888,2,442,0
Lachnospiraceae_bacterium_51870,700014498,700117828,1261,1868608,262978,1219590,402,446,195187,3456695,6888,2,444,0
Lachnospiraceae_bacterium_51870,700014498,700164159,1258,1862859,262228,1215861,403,445,194532,3446184,6867,4,441,0
Lachnospiraceae_bacterium_51870,700014498,700165263,908,1849782,260477,1207347,321,296,193028,3422197,6816,2,294,0
Lachnospiraceae_bacterium_51870,700014498,700165530,1222,1844102,259568,1203671,362,482,192432,3411801,6780,6,476,0
Lachnospiraceae_bacterium_51870,700014498,700172393,1060,1863704,262318,1216381,320,427,194634,3447636,6873,2,425,0
Lachnospiraceae_bacterium_51870,700014498,700172555,955,1865147,262482,1217344,292,370,194879,3450271,6882,1,369,0
Lachnospiraceae_bacterium_51870,700014498,ERR912107,1176,1842999,259368,1202979,372,421,192402,3409731,6804,3,417,1
Lachnospiraceae_bacterium_51870,700014498,pluto3-11-30-0_,1254,1867261,262716,1218716,397,436,195089,3454162,6897,3,433,0
Lachnospiraceae_bacterium_51870,700021295,700023113,1116,1914705,268968,1249526,343,408,200216,3541237,7125,3,404,1
Lachnospiraceae_bacterium_51870,700021295,700023788,1141,1889348,265197,1232906,373,392,197518,3494120,7080,6,386,0
Lachnospiraceae_bacterium_51870,700021295,700165263,1267,1895418,266386,1236934,427,409,198090,3505674,7038,4,405,0
Lachnospiraceae_bacterium_51870,700023113,700023603,1033,1909136,268256,1245916,304,367,199634,3531028,7086,2,363,2
Lachnospiraceae_bacterium_51870,700023113,700023788,1182,1882867,264392,1228735,394,415,196727,3482407,7071,3,411,1
Lachnospiraceae_bacterium_51870,700023113,700023872,1210,1895211,266463,1236845,391,436,198005,3505456,7074,3,432,1
Lachnospiraceae_bacterium_51870,700023113,700105049,1017,1903789,267317,1242343,327,372,199123,3520775,7131,1,370,1
Lachnospiraceae_bacterium_51870,700023113,700111296,1028,1904729,267691,1243224,313,375,199118,3523435,7119,1,373,1
Lachnospiraceae_bacterium_51870,700023113,700117828,1020,1918308,269470,1251882,314,376,200599,3547886,7161,1,374,1
Lachnospiraceae_bacterium_51870,700023113,700164159,1039,1904581,267591,1242999,319,380,199107,3522783,7107,3,376,1
Lachnospiraceae_bacterium_51870,700023113,700165263,1177,1889106,265599,1232864,406,380,197315,3494245,7032,1,378,1
Lachnospiraceae_bacterium_51870,700023113,700165530,1140,1892431,265757,1235024,334,447,197810,3500230,7032,5,441,1
Lachnospiraceae_bacterium_51870,700023113,700172393,1013,1913068,268772,1248440,295,402,199994,3538189,7137,1,400,1
Lachnospiraceae_bacterium_51870,700023113,700172555,513,1914349,268879,1249299,162,193,200233,3540506,7158,0,192,1
Lachnospiraceae_bacterium_51870,700023113,ERR912020,1146,1912042,268626,1247772,320,448,199875,3536310,7131,4,442,2
Lachnospiraceae_bacterium_51870,700023113,ERR912045,1133,1917777,269355,1251546,347,431,200561,3546907,7170,3,426,2
Lachnospiraceae_bacterium_51870,700023113,ERR912087,1091,1913238,268792,1248557,328,411,200029,3538490,7152,2,408,1
Lachnospiraceae_bacterium_51870,700023113,ERR912152,1146,1913942,268825,1249025,330,456,200136,3539793,7146,7,447,2
Lachnospiraceae_bacterium_51870,700023113,ERR912201,978,1916475,269204,1250697,300,363,200431,3544499,7161,0,362,1
Lachnospiraceae_bacterium_51870,700023113,pluto3-11-30-0_,1016,1916062,269072,1250419,306,373,200386,3543701,7170,2,370,1
Lachnospiraceae_bacterium_51870,700023603,700172555,1122,1917384,269288,1251271,332,397,200621,3546079,7113,2,394,1
Lachnospiraceae_bacterium_51870,700023788,700165263,555,1874492,263292,1223298,159,238,195781,3467111,7002,2,236,0
Lachnospiraceae_bacterium_51870,700023788,700172393,1297,1890260,265329,1233521,412,479,197602,3495899,7062,4,475,0
Lachnospiraceae_bacterium_51870,700023872,ERR912055,1144,1891038,265961,1234103,393,400,197545,3497729,7035,5,395,0
Lachnospiraceae_bacterium_51870,700032222,700172393,884,1915562,268722,1250036,253,364,200522,3542479,7107,4,360,0
Lachnospiraceae_bacterium_51870,700032222,ERR912020,1136,1911117,268150,1247128,316,443,199994,3534298,7092,8,434,1
Lachnospiraceae_bacterium_51870,700032222,ERR912087,1094,1916091,268805,1250392,323,406,200578,3543482,7116,6,400,0
Lachnospiraceae_bacterium_51870,700032222,ERR912152,1093,1907992,267812,1245177,305,420,199647,3528792,7092,10,409,1
Lachnospiraceae_bacterium_51870,700032222,ERR912168,1296,1913489,268425,1248680,385,490,200299,3538655,7086,5,485,0
Lachnospiraceae_bacterium_51870,700105049,700111296,475,1902530,267210,1241706,151,181,199020,3518976,7122,2,179,0
Lachnospiraceae_bacterium_51870,700105049,700117828,388,1916122,268989,1250366,123,152,200498,3543433,7167,2,150,0
