species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Alistipes_putredinis_61533,700116505,700101581,12830,1366402,234150,886499,5162,2956,102076,2551310,6111,27,2912,17
Alistipes_putredinis_61533,ERR911982,700163628,12747,1382308,236782,896864,5047,3092,103212,2581119,6261,20,3057,15
Alistipes_putredinis_61533,700112755,SRR413584,13115,1366045,234010,886464,5274,3071,101937,2551251,6204,25,3026,20
Alistipes_putredinis_61533,ERR912048,ERR912137,11290,1399507,240001,908087,4547,2742,104398,2613383,6480,18,2713,11
Alistipes_putredinis_61533,ERR912067,700099803,10872,1408600,241568,913974,4372,2562,105037,2630474,6411,23,2528,11
Alistipes_putredinis_61533,700024673,700172870,11082,1384734,237464,898483,4491,2584,103275,2585946,6228,21,2556,7
Alistipes_putredinis_61533,ERR911969,700037649,11952,1369098,234889,888494,4881,2670,101990,2557324,6168,14,2644,12
Alistipes_putredinis_61533,700110089,700016960,12601,1349593,230582,875661,5089,2904,101120,2519749,6114,20,2867,17
Alistipes_putredinis_61533,700038493,700023267,13657,1361054,232904,883054,5468,3204,101727,2541177,6258,22,3172,10
Alistipes_putredinis_61533,ERR912141,700024998,13232,1360771,232689,882824,5342,3065,101907,2540322,6243,22,3027,16
Alistipes_putredinis_61533,700119042,ERR912082,13085,1347234,231273,874185,5321,3050,100302,2516196,6057,22,3015,13
Alistipes_putredinis_61533,ERR912085,700024711,13219,1384073,237382,897995,5291,3120,103192,2584472,6321,21,3084,15
Alistipes_putredinis_61533,ERR912066,ERR912124,12348,1409934,241916,914877,4906,2923,105042,2633157,6432,21,2888,14
Alistipes_putredinis_61533,700116028,700172555,14189,1381413,237017,896308,5752,3250,102894,2579733,6297,23,3210,17
Alistipes_putredinis_61533,ERR912172,ERR912086,14257,1403640,240927,910839,5644,3474,104644,2621456,6417,22,3434,18
Alistipes_putredinis_61533,700021261,ERR911968,12168,1399530,240063,908033,4792,2956,104350,2613371,6378,20,2925,11
Alistipes_putredinis_61533,700100432,SRR413623,8547,1391819,238310,902866,3456,2023,104057,2598073,6468,12,2001,10
Alistipes_putredinis_61533,1089274-24-28-0_,700038956,12835,1380189,236907,895550,5160,2979,102790,2577632,6228,21,2944,14
Alistipes_putredinis_61533,700037539,700023720,11949,1356462,232310,880064,4742,2888,101224,2532821,6147,22,2852,14
Alistipes_putredinis_61533,ERR912193,700015250,13759,1398063,239961,907164,5445,3383,104172,2610921,6399,25,3343,15
