species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Barnesiella_intestinihominis_62208,ERR912091,700024615,26032,2447409,348094,1588612,10643,5733,243264,4514283,8289,14,5710,9
Barnesiella_intestinihominis_62208,700095486,ERR911970,23990,2434565,346848,1580097,9726,5429,241885,4490240,8166,19,5406,4
Barnesiella_intestinihominis_62208,ERR912091,ERR912154,26043,2473393,352090,1605510,10719,5605,245660,4562509,8361,11,5586,8
Barnesiella_intestinihominis_62208,ERR912184,pluto4-11-7-0_,25564,2440610,347302,1584221,10404,5713,242523,4501815,8325,19,5686,8
Barnesiella_intestinihominis_62208,700024615,ERR911997,29068,2381594,338792,1545587,11911,6376,236784,4392030,7947,20,6349,7
Barnesiella_intestinihominis_62208,ERR912148,700014954,26527,2435363,346981,1580807,10869,5738,241747,4492574,8100,20,5714,4
Barnesiella_intestinihominis_62208,ERR912187,ERR912179,27865,2404179,342678,1560443,11339,6251,238713,4434408,8208,25,6218,8
Barnesiella_intestinihominis_62208,SRR2822459,700016542,26721,2448215,348541,1589128,11023,5686,243286,4515938,8160,12,5665,9
Barnesiella_intestinihominis_62208,ERR912139,700037852,30645,2403308,341997,1559714,12692,6490,238887,4432218,8037,19,6464,7
Barnesiella_intestinihominis_62208,700172393,700106170,26284,2464125,350730,1599501,10803,5679,244817,4545373,8313,18,5656,5
Barnesiella_intestinihominis_62208,700111156,ERR912164,25861,2456777,349896,1594613,10565,5800,243972,4531470,8397,18,5773,9
Barnesiella_intestinihominis_62208,700171114,700033989,26952,2425818,345412,1574604,10844,5986,241130,4474753,7929,24,5954,8
Barnesiella_intestinihominis_62208,ERR911993,700173483,26433,2445839,348354,1587526,10865,5788,242954,4511416,8208,18,5766,4
Barnesiella_intestinihominis_62208,ERR912168,700119496,29768,2416424,344050,1568292,12213,6375,240035,4456813,8028,18,6352,5
Barnesiella_intestinihominis_62208,700102432,700095213,24646,2448384,348840,1589192,10137,5519,243229,4516385,7962,13,5501,5
Barnesiella_intestinihominis_62208,ERR912134,ERR912080,24705,2448403,348598,1589202,10116,5391,243332,4515997,8277,15,5369,7
Barnesiella_intestinihominis_62208,ERR912032,700161532,25998,2448551,348385,1589187,10610,5870,243487,4515896,8178,20,5844,6
Barnesiella_intestinihominis_62208,700113177,ERR912008,25903,2458592,350192,1595770,10582,5820,244222,4534706,8382,20,5793,7
Barnesiella_intestinihominis_62208,ERR912161,ERR912090,26645,2473228,352159,1605434,10910,5910,245652,4562259,8391,12,5888,10
Barnesiella_intestinihominis_62208,ERR912140,ERR912139,30813,2406264,342525,1561588,12660,6632,239075,4437676,8013,18,6606,8
