species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Bacteroides_ovatus_58035,700014562,ERR912193,24,929753,132183,606207,5,12,91167,1724643,2811,0,12,0
Bacteroides_ovatus_58035,700014724,700016000,32,929633,132210,606134,3,25,91184,1724383,2835,1,24,0
Bacteroides_ovatus_58035,700014724,700117239,17,929882,132192,606288,2,12,91223,1724794,2847,1,11,0
Bacteroides_ovatus_58035,700016000,700117239,27,931579,132495,607440,5,19,91351,1728131,2838,0,19,0
Bacteroides_ovatus_58035,700016000,700161945,28,929563,132135,606105,3,21,91188,1724298,2829,0,21,0
Bacteroides_ovatus_58035,700023113,700095213,13,929955,132244,606317,4,8,91214,1724887,2850,0,8,0
Bacteroides_ovatus_58035,700023113,700102043,14,930665,132398,606786,5,8,91272,1726260,2826,0,8,0
Bacteroides_ovatus_58035,700023113,700114082,20,929607,132103,606077,6,11,91246,1724126,2859,0,11,0
Bacteroides_ovatus_58035,700023113,700123135,20,933118,132721,608418,2,17,91496,1730914,2844,0,17,0
Bacteroides_ovatus_58035,700023113,700164641,13,915781,130249,597065,3,10,89879,1698535,2781,0,10,0
Bacteroides_ovatus_58035,700023337,700034166,12,842807,119679,549354,2,7,82855,1562732,2475,0,7,0
Bacteroides_ovatus_58035,700023337,700173546,13,849819,120695,553913,3,7,83529,1575696,2514,0,7,0
Bacteroides_ovatus_58035,700023337,ERR912064,14,841405,119433,548402,2,7,82753,1559951,2502,0,7,0
Bacteroides_ovatus_58035,700023337,ERR912113,15,840640,119374,547906,2,10,82643,1558582,2493,1,9,0
Bacteroides_ovatus_58035,700023845,700109231,25,818210,115837,533216,4,20,80633,1516531,2484,1,19,0
Bacteroides_ovatus_58035,700034166,700173546,8,853121,121208,556104,4,4,83883,1581930,2499,0,4,0
Bacteroides_ovatus_58035,700034166,ERR912064,8,845578,120091,551160,3,3,83180,1567813,2487,0,3,0
Bacteroides_ovatus_58035,700034166,ERR912113,9,844691,119986,550584,4,5,83029,1566242,2481,1,4,0
Bacteroides_ovatus_58035,700034794,700113975,22,839665,119266,547379,2,14,82508,1557181,2448,0,14,0
Bacteroides_ovatus_58035,700034794,700116730,16,840237,119331,547751,1,13,82605,1558206,2442,0,13,0
Bacteroides_ovatus_58035,700037042,700106065,73,846551,120186,551804,10,48,83260,1569602,2550,2,46,0
Bacteroides_ovatus_58035,700038594,700116401,4,840109,119272,547558,2,1,82600,1557554,2520,0,1,0
Bacteroides_ovatus_58035,700095213,700102043,15,929041,132155,605719,5,8,91118,1723228,2811,0,8,0
Bacteroides_ovatus_58035,700095213,700114082,21,927423,131819,604639,6,11,91026,1720050,2841,0,11,0
Bacteroides_ovatus_58035,700095213,700123135,19,929096,132157,605764,2,15,91106,1723351,2835,0,15,0
Bacteroides_ovatus_58035,700095213,700164641,12,915660,130249,596992,3,8,89863,1698335,2778,0,8,0
Bacteroides_ovatus_58035,700095410,700106754,26,846689,120322,551989,2,15,83072,1570399,2496,1,14,0
Bacteroides_ovatus_58035,700095410,700114218,25,848581,120616,553281,4,18,83258,1574092,2493,1,17,0
Bacteroides_ovatus_58035,700095410,700163419,22,849530,120820,553877,4,15,83255,1575871,2505,3,12,0
Bacteroides_ovatus_58035,700095410,700164792,20,845059,120081,550991,3,13,82988,1567498,2487,1,12,0
Bacteroides_ovatus_58035,700102043,700114082,22,927783,131898,604875,7,11,91047,1720758,2820,0,11,0
Bacteroides_ovatus_58035,700102043,700123135,22,929394,132245,605962,3,17,91125,1723962,2799,0,17,0
Bacteroides_ovatus_58035,700102043,700164641,15,915623,130275,596973,4,10,89848,1698311,2760,0,10,0
Bacteroides_ovatus_58035,700106754,700163419,31,850016,120734,554121,4,17,83424,1576386,2553,2,15,0
Bacteroides_ovatus_58035,700106754,700164792,27,848736,120490,553308,4,12,83469,1573914,2541,0,12,0
Bacteroides_ovatus_58035,700111745,700164354,39,847630,120432,552520,13,15,83117,1571917,2526,0,15,0
Bacteroides_ovatus_58035,700113975,700116730,29,849716,120839,553980,4,17,83407,1576049,2484,0,17,0
Bacteroides_ovatus_58035,700114082,700123135,28,927965,131899,605012,4,20,91069,1721138,2829,0,20,0
Bacteroides_ovatus_58035,700114082,700164641,21,914557,130016,596255,5,13,89814,1696176,2775,0,13,0
Bacteroides_ovatus_58035,700114218,700163419,29,852043,121081,555483,6,19,83573,1580326,2550,2,17,0
Bacteroides_ovatus_58035,700114218,700164792,26,849965,120700,554114,5,16,83549,1576255,2538,0,16,0
Bacteroides_ovatus_58035,700117239,700161945,15,929866,132115,606314,2,10,91252,1724858,2832,0,10,0
Bacteroides_ovatus_58035,700123135,700164641,13,915497,130246,596905,1,11,89831,1698118,2766,0,11,0
Bacteroides_ovatus_58035,700161743,SRR413758,40,852972,120920,556074,7,19,83930,1581802,2490,0,19,0
Bacteroides_ovatus_58035,700163419,700164792,24,847459,120377,552498,5,14,83207,1571752,2535,2,12,0
Bacteroides_ovatus_58035,700173546,ERR912064,8,860922,122242,561140,2,4,84679,1596164,2577,0,4,0
Bacteroides_ovatus_58035,700173546,ERR912113,9,859887,122178,560463,2,7,84499,1594325,2565,1,6,0
Bacteroides_ovatus_58035,ERR912064,ERR912113,7,868173,123259,565908,1,4,85437,1609671,2616,1,3,0
