species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Phascolarctobacterium_sp_59817,700100227,ERR912022,9729,1657196,251464,1071256,4368,1965,147961,3059474,6333,10,1955,0
Phascolarctobacterium_sp_59817,ERR912065,SRR413609,9477,1668172,253230,1078449,4184,1980,148692,3080229,6426,10,1969,1
Phascolarctobacterium_sp_59817,SRR413566,donald4-11-7-0_,9275,1666093,252761,1077151,4183,1938,148545,3076527,6381,5,1931,2
Phascolarctobacterium_sp_59817,700016000,SRR413566,9737,1673983,254205,1082171,4317,2057,149081,3091138,6294,5,2049,3
Phascolarctobacterium_sp_59817,pluto4-11-30-0_,700038702,20993,1568114,238106,1013957,9996,3585,140092,2895872,5907,13,3568,4
Phascolarctobacterium_sp_59817,700116668,700103652,13766,1577785,239213,1020133,6314,2521,141138,2913336,5925,5,2516,0
Phascolarctobacterium_sp_59817,700098267,700105882,9069,1661896,252379,1074347,4078,1914,147843,3068946,6252,9,1905,0
Phascolarctobacterium_sp_59817,700097906,700014724,9958,1675607,254240,1083093,4369,2162,149415,3093402,6462,11,2149,2
Phascolarctobacterium_sp_59817,700161742,700165407,18268,1597092,242285,1032644,8488,3326,142646,2949178,6108,14,3310,2
Phascolarctobacterium_sp_59817,700097196,700105049,21850,1541475,234356,996850,10381,3650,137518,2847533,5499,7,3640,3
Phascolarctobacterium_sp_59817,700165263,700172498,10004,1680020,254981,1085972,4429,2156,149715,3101673,6528,5,2148,3
Phascolarctobacterium_sp_59817,700016716,ERR911976,18098,1597962,242632,1033215,8483,3234,142554,2951058,6033,7,3225,2
Phascolarctobacterium_sp_59817,SRR413617,700097196,8927,1659397,252498,1072825,3982,1929,147631,3064856,5988,7,1920,2
Phascolarctobacterium_sp_59817,700165311,700165407,17912,1601499,242920,1035483,8340,3261,143026,2957375,6048,9,3249,3
Phascolarctobacterium_sp_59817,700171114,700117625,17832,1584833,239775,1024617,8277,3223,142011,2925690,6150,12,3209,2
Phascolarctobacterium_sp_59817,700117625,ERR912064,9504,1671343,253543,1080372,4269,1986,149240,3085393,6483,6,1980,0
Phascolarctobacterium_sp_59817,ERR911976,700163699,9490,1677207,254245,1084126,4199,2047,149728,3096140,6510,4,2043,0
Phascolarctobacterium_sp_59817,700106694,700165634,9466,1663640,251894,1075465,4101,2083,148680,3071292,6423,5,2075,3
Phascolarctobacterium_sp_59817,ERR911976,700016716,18098,1597962,242632,1033215,8483,3234,142554,2951058,6033,7,3225,2
Phascolarctobacterium_sp_59817,700024437,700105882,9527,1679765,254903,1085847,4181,2051,149774,3101278,6489,7,2043,1
