species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Barnesiella_intestinihominis_62208,700033435,ERR912145,56,2469146,351247,1602729,10,34,245402,4554265,8520,2,32,0
Barnesiella_intestinihominis_62208,700034794,700109564,21,2461370,350285,1597650,4,15,244614,4540074,8262,2,13,0
Barnesiella_intestinihominis_62208,700103558,700106412,11,2473672,352387,1605722,2,1,245558,4563277,8331,0,1,0
Barnesiella_intestinihominis_62208,700113810,ERR912110,23,2469122,351718,1602688,4,15,245123,4554541,8400,0,15,0
Barnesiella_intestinihominis_62208,700113810,ERR912150,32,2467570,351451,1601689,6,22,245001,4551672,8394,0,22,0
Barnesiella_intestinihominis_62208,ERR912007,ERR912034,30,2463462,350895,1598938,4,22,244723,4543688,8403,0,22,0
Barnesiella_intestinihominis_62208,ERR912007,ERR912191,29,2464836,351082,1599822,5,19,244836,4546179,8451,1,18,0
Barnesiella_intestinihominis_62208,ERR912034,ERR912191,23,2465300,351141,1600155,5,15,244894,4547132,8439,2,13,0
Barnesiella_intestinihominis_62208,ERR912085,ERR912144,76,2458669,350163,1595912,8,56,244200,4535106,8430,0,56,0
Barnesiella_intestinihominis_62208,ERR912100,ERR912148,42,2474889,352499,1606498,10,23,245683,4565321,8490,3,20,0
Barnesiella_intestinihominis_62208,ERR912110,ERR912150,14,2469550,351716,1602975,4,10,245221,4555289,8415,0,10,0
