species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_uniformis_57318,1089279-24-0-0_,donald3-11-0-0_,876,1073428,160278,699839,333,223,19341,81970,318,177,140937,617869,15,46,82640,1767442,3525,10398,235023,489,1,45,0,4,173,0
Bacteroides_uniformis_57318,700013603,SRR413592,719,834881,124296,544468,272,175,15097,66610,257,128,109199,477858,15,47,63613,1366985,2976,8964,190464,402,0,47,0,1,127,0
Bacteroides_uniformis_57318,700014724,1089279-24-0-0_,1147,978167,145937,637498,438,293,29640,127229,431,251,116297,510269,7,42,68466,1459353,2988,16561,364316,810,1,41,0,3,248,0
Bacteroides_uniformis_57318,700014724,700015857,833,964190,143392,628314,318,216,11392,49719,301,147,132000,578595,17,69,77448,1654932,3405,6693,142158,306,3,66,0,0,147,0
Bacteroides_uniformis_57318,700014724,700021123,1075,963931,143376,628241,440,264,22003,95286,423,211,121373,532955,17,53,71207,1524469,3189,12758,272497,603,0,53,0,1,210,0
Bacteroides_uniformis_57318,700014724,700021306,652,958340,142794,624525,253,168,11435,49666,239,131,131359,574859,14,37,76776,1644324,3477,6669,142014,315,1,36,0,0,131,0
Bacteroides_uniformis_57318,700014724,700023634,708,965450,143969,629183,275,174,15013,65797,266,135,128956,563386,9,39,75057,1611708,3393,8972,188026,393,0,39,0,0,135,0
Bacteroides_uniformis_57318,700014724,700024024,825,950800,140943,619682,314,210,14153,61810,300,167,126790,557872,14,43,74972,1595287,3357,8255,176761,414,2,41,0,0,167,0
Bacteroides_uniformis_57318,700014724,700033201,630,984375,146838,641561,252,161,11871,51357,242,117,134967,590204,10,44,78638,1688449,3525,6880,146876,315,1,43,0,0,117,0
Bacteroides_uniformis_57318,700014724,700098429,1116,935846,139322,609887,455,270,23849,103841,437,218,115473,506046,18,52,67698,1447371,3069,13830,297045,648,0,52,0,1,217,0
Bacteroides_uniformis_57318,700014724,700117239,1177,950819,141521,619680,453,303,23657,101125,427,254,117864,518555,26,49,69650,1482952,3063,13118,289561,696,1,48,0,2,252,0
Bacteroides_uniformis_57318,700014724,700163982,1214,950810,141480,619585,473,309,24450,104922,447,260,117030,514663,26,49,69083,1471894,3012,13707,300339,720,1,48,0,2,258,0
Bacteroides_uniformis_57318,700014724,ERR911966,656,943815,140540,615104,222,207,12590,54194,203,133,127950,560910,19,74,75014,1604428,3288,7174,154988,420,2,72,0,1,132,0
Bacteroides_uniformis_57318,700014724,ERR911977,1174,941673,140561,613788,445,307,23907,102015,421,251,116654,511773,24,56,68600,1463677,3042,13236,292137,672,1,55,0,2,249,0
Bacteroides_uniformis_57318,700014724,ERR911981,697,952930,142119,621063,265,190,12607,54980,253,134,129512,566083,12,56,75568,1619288,3393,7399,157199,342,4,52,0,0,134,0
Bacteroides_uniformis_57318,700014724,ERR911994,691,952356,142044,620768,268,182,11222,48481,250,138,130822,572287,18,44,76281,1637160,3420,6514,138614,315,0,44,0,1,137,0
Bacteroides_uniformis_57318,700014724,ERR912030,701,949601,141610,618951,278,182,10536,45736,259,134,131074,573215,19,48,76434,1639770,3441,6207,130698,303,0,48,0,0,134,0
Bacteroides_uniformis_57318,700014724,ERR912041,720,940891,140265,613195,285,175,11481,50155,269,137,128784,563040,16,38,74962,1610807,3351,6937,143189,339,0,38,0,0,137,0
Bacteroides_uniformis_57318,700014724,ERR912046,331,951087,141781,619857,117,100,3966,17107,102,75,137815,602750,15,25,80584,1724030,3636,2276,48904,141,1,24,0,0,75,0
Bacteroides_uniformis_57318,700014724,ERR912084,636,953024,141976,621186,252,166,10994,47974,239,121,130982,573212,13,45,76484,1639693,3459,6530,137095,297,0,45,0,0,121,0
Bacteroides_uniformis_57318,700014724,ERR912110,329,954969,142390,622443,116,97,3936,16996,101,70,138454,605447,15,27,80810,1731907,3624,2249,48601,138,0,27,0,0,70,0
Bacteroides_uniformis_57318,700014724,ERR912122,1126,948905,141484,618527,455,274,22577,97620,439,226,118907,520907,16,48,69619,1489967,3135,12996,279261,603,1,47,0,1,225,0
Bacteroides_uniformis_57318,700014724,SRR413627,264,953445,142185,621464,86,80,3315,14390,75,50,138870,607074,11,30,80938,1736651,3633,1830,41217,123,0,30,0,0,50,0
Bacteroides_uniformis_57318,700014724,donald3-11-0-0_,658,982615,146506,640374,260,172,9545,41430,243,121,136961,598944,17,51,79778,1713508,3546,5662,118343,285,1,50,0,0,121,0
Bacteroides_uniformis_57318,700015702,700024866,262,1356631,203751,884551,105,68,8060,34313,94,38,195691,850238,11,30,112278,2433777,4659,4334,98464,141,2,28,0,0,38,0
Bacteroides_uniformis_57318,700015702,700105153,29,1337082,200608,871771,4,23,100,409,2,0,200508,871362,2,23,114831,2494512,4743,50,1177,0,2,21,0,0,0,0
Bacteroides_uniformis_57318,700015702,700113762,44,1382294,207794,901369,11,24,1337,5461,4,3,206457,895908,7,21,117948,2564961,4815,644,15706,33,2,19,0,0,3,0
Bacteroides_uniformis_57318,700015702,700117766,70,1380892,207410,900470,12,47,1337,5470,4,4,206073,895000,8,43,117947,2562214,4839,645,15732,33,3,40,0,0,4,0
Bacteroides_uniformis_57318,700015702,ERR912038,50,1385269,208115,903287,12,34,1347,5509,4,3,206768,897778,8,31,118231,2570255,4848,651,15843,33,3,28,0,0,3,0
Bacteroides_uniformis_57318,700015702,ERR912067,232,1363391,204690,888925,77,75,2791,12243,57,29,201899,876682,20,46,115553,2509762,4731,1558,35099,72,3,43,0,0,29,0
Bacteroides_uniformis_57318,700015702,ERR912165,94,1378895,207041,899127,30,44,2699,11674,22,15,204342,887453,8,29,116960,2540590,4809,1481,33496,45,2,27,0,0,15,0
Bacteroides_uniformis_57318,700015702,ERR912175,53,1371855,205950,894526,15,32,1337,5475,4,3,204613,889051,11,29,117220,2545127,4806,647,15745,33,4,25,0,0,3,0
Bacteroides_uniformis_57318,700015857,1089279-24-0-0_,1006,990914,147486,645890,366,245,22215,95412,361,203,125271,550478,5,42,74032,1574312,3090,12311,273271,654,1,41,0,4,199,0
Bacteroides_uniformis_57318,700015857,700021123,836,968977,143893,631629,308,214,13664,59539,300,144,130229,572090,8,70,76455,1636461,3354,8040,170232,345,3,67,0,1,143,0
Bacteroides_uniformis_57318,700015857,700021306,398,953142,141788,621126,127,113,5094,22147,121,65,136694,598979,6,48,80181,1713225,3531,2979,63318,144,4,44,0,0,65,0
Bacteroides_uniformis_57318,700015857,700023634,491,961624,143051,626702,160,130,6453,28219,152,77,136598,598483,8,53,80118,1711821,3510,3868,80630,159,3,50,0,0,77,0
Bacteroides_uniformis_57318,700015857,700033201,442,980128,145955,638832,142,119,5016,21655,133,68,140939,617177,9,51,82483,1765460,3588,2848,61985,132,4,47,0,0,68,0
Bacteroides_uniformis_57318,700015857,700098429,871,947066,140773,617244,322,223,14964,65149,312,170,125809,552095,10,53,73974,1579044,3267,8705,186343,399,3,50,0,1,169,0
Bacteroides_uniformis_57318,700015857,700117239,1022,958733,142372,624960,377,250,19456,84009,365,213,122916,540951,12,37,72706,1547039,3108,10840,240632,555,1,36,0,3,210,0
Bacteroides_uniformis_57318,700015857,700163982,1053,958824,142296,624856,393,258,19144,82897,377,215,123152,541959,16,43,72904,1549877,3096,10759,237371,561,1,42,0,3,212,0
Bacteroides_uniformis_57318,700015857,ERR911966,1159,949982,141198,619139,428,308,21558,93034,408,223,119640,526105,20,85,70670,1504639,3006,12273,266199,630,3,82,0,3,220,0
Bacteroides_uniformis_57318,700015857,ERR911977,1019,953070,141978,621288,369,256,19913,85555,359,207,122065,535733,10,49,71989,1532123,3087,11064,245019,582,1,48,0,3,204,0
Bacteroides_uniformis_57318,700015857,ERR911981,460,967606,144072,630690,140,138,5791,25216,131,74,138281,605474,9,64,81106,1731797,3519,3304,72170,174,7,57,0,0,74,0
Bacteroides_uniformis_57318,700015857,ERR911994,438,963448,143470,627962,145,125,5611,24469,136,74,137859,603493,9,51,80695,1726268,3516,3285,69957,165,4,47,0,0,74,0
Bacteroides_uniformis_57318,700015857,ERR912030,453,961357,143090,626603,150,130,5699,24802,143,73,137391,601801,7,57,80585,1721311,3507,3315,70923,168,3,54,0,0,73,0
Bacteroides_uniformis_57318,700015857,ERR912041,458,954592,142081,622148,150,118,5639,24538,137,70,136442,597610,13,48,79937,1709380,3513,3338,70111,165,3,45,0,0,70,0
Bacteroides_uniformis_57318,700015857,ERR912046,789,955351,142109,622638,310,192,14280,61878,300,137,127829,560760,10,55,75262,1603736,3282,8207,177007,420,4,51,0,0,137,0
Bacteroides_uniformis_57318,700015857,ERR912084,444,967852,143957,630808,146,122,5094,22063,137,74,138863,608745,9,48,81571,1741100,3564,2899,63140,150,3,45,0,0,74,0
Bacteroides_uniformis_57318,700015857,ERR912110,784,958447,142636,624712,305,191,14173,61567,292,134,128463,563145,13,57,75413,1610734,3288,8187,176106,408,3,54,0,0,134,0
Bacteroides_uniformis_57318,700015857,ERR912122,883,960512,142954,626118,324,227,15132,65717,316,168,127822,560401,8,59,75104,1602811,3288,8737,188018,396,4,55,0,1,167,0
Bacteroides_uniformis_57318,700015857,SRR413627,850,957069,142464,623766,322,218,12054,52038,300,142,130410,571728,22,76,76399,1635458,3327,6896,148894,324,3,73,0,0,142,0
Bacteroides_uniformis_57318,700015857,donald3-11-0-0_,417,997278,148331,649970,132,124,5831,25434,127,71,142500,624536,5,53,83525,1786477,3606,3375,72759,168,4,49,0,0,71,0
Bacteroides_uniformis_57318,700015981,700033435,1058,933452,137604,608285,390,255,13999,59927,373,182,123605,548358,17,73,74169,1567608,3297,7828,171530,423,0,73,0,0,182,0
Bacteroides_uniformis_57318,700015981,700038761,706,940583,138709,612978,257,158,10447,45079,248,105,128262,567899,9,53,76769,1623511,3417,5886,129051,300,0,53,0,0,105,0
