species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_fragilis_54507,pluto4-11-7-0_,700037868,16928,3187787,466784,2072846,6592,3849,306695,5900962,10881,18,3826,5
Bacteroides_fragilis_54507,700163868,ERR912138,14283,3223813,472083,2096289,5645,3284,310155,5967600,11112,9,3271,4
Bacteroides_fragilis_54507,700161856,700119042,16895,3170557,463840,2061615,6533,3840,305329,5868665,10851,13,3823,4
Bacteroides_fragilis_54507,ERR912134,700107873,15293,3187185,467198,2072581,5946,3471,306422,5900605,10716,17,3453,1
Bacteroides_fragilis_54507,700100600,700107059,15290,3099920,453587,2015708,6003,3437,298492,5738201,10431,9,3426,2
Bacteroides_fragilis_54507,ERR912051,700100540,13985,3173727,465056,2063822,5394,3211,305266,5875241,10959,16,3190,5
Bacteroides_fragilis_54507,700163030,ERR912084,13474,3200783,468455,2081258,5211,3149,308148,5924592,11034,15,3132,2
Bacteroides_fragilis_54507,700116468,700161967,13077,3203896,469015,2083282,5009,3075,308323,5930501,11022,13,3059,3
Bacteroides_fragilis_54507,700100227,pluto3-11-0-0_,14041,3212773,470332,2089129,5441,3267,309220,5947214,10953,9,3256,2
Bacteroides_fragilis_54507,pluto4-11-7-0_,ERR912136,17072,3198460,468477,2079819,6620,3846,307604,5920927,10926,10,3829,7
Bacteroides_fragilis_54507,700165634,700117766,13878,3210042,469861,2087262,5286,3317,309041,5941693,11052,23,3289,5
Bacteroides_fragilis_54507,ERR912082,700038072,13851,3199440,468544,2080534,5301,3223,307777,5922812,11013,24,3197,2
Bacteroides_fragilis_54507,700107873,700117766,17290,3207746,470376,2085929,6678,3948,308336,5938693,10758,18,3924,6
Bacteroides_fragilis_54507,700015922,700171574,14174,3201620,468979,2081833,5417,3282,307887,5926737,10875,15,3264,3
Bacteroides_fragilis_54507,700108095,700107873,17160,3205087,469985,2084195,6617,3912,308006,5933818,10761,17,3891,4
Bacteroides_fragilis_54507,700024233,700103479,15826,3193636,467502,2076536,6157,3562,307334,5911261,11013,18,3540,4
Bacteroides_fragilis_54507,ERR912176,700107059,17052,3200237,468515,2080990,6711,3814,308129,5923969,10872,11,3801,2
Bacteroides_fragilis_54507,700023390,700164611,16980,3202689,469326,2082608,6467,3879,307929,5928960,10935,13,3863,3
Bacteroides_fragilis_54507,700164611,SRR413606,16786,3205956,469645,2084734,6530,3808,308329,5934953,10920,12,3793,3
Bacteroides_fragilis_54507,ERR912181,SRR413688,14026,3221877,471868,2095021,5368,3280,309941,5964031,11091,15,3262,3
