species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Bacteroides_finegoldii_57739,700016960,ERR912191,52,2060715,295001,1342924,7,38,200327,3821704,6741,0,38,0
Bacteroides_finegoldii_57739,700021824,700096865,83,2051936,293815,1337201,11,62,199454,3805540,6609,4,58,0
Bacteroides_finegoldii_57739,700021824,700106876,71,2051549,293721,1336951,11,54,199404,3804783,6666,2,52,0
Bacteroides_finegoldii_57739,700021824,700163628,75,2052206,293667,1337386,11,55,199530,3805953,6675,2,53,0
Bacteroides_finegoldii_57739,700021824,700171390,78,2043757,292513,1331879,14,55,198728,3790354,6555,2,53,0
Bacteroides_finegoldii_57739,700038594,700123827,88,2002353,286632,1304858,13,47,194761,3713489,6324,0,47,0
Bacteroides_finegoldii_57739,700096865,700106876,54,2053142,294161,1337969,8,38,199449,3807834,6624,2,36,0
Bacteroides_finegoldii_57739,700096865,700163628,63,2053166,294002,1338004,11,41,199543,3807836,6633,2,39,0
Bacteroides_finegoldii_57739,700096865,700171390,61,2045459,292959,1332986,10,40,198800,3793633,6525,2,38,0
Bacteroides_finegoldii_57739,700106876,700163628,13,2052504,293853,1337568,3,7,199474,3806543,6687,0,7,0
Bacteroides_finegoldii_57739,700106876,700171390,12,2045138,292867,1332763,3,6,198771,3792945,6573,0,6,0
Bacteroides_finegoldii_57739,700163628,700171390,19,2044814,292672,1332578,6,7,198811,3792350,6573,0,7,0
Bacteroides_finegoldii_57739,SRR341696,SRR413624,34,1944434,277801,1266922,9,14,189285,3605604,5877,2,12,0
Bacteroides_finegoldii_57739,SRR341699,SRR413577,22,1890843,270260,1232385,4,9,183932,3507508,5715,0,9,0
