species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Eubacterium_eligens_61678,SRR341716,SRR413575,20191,1028568,139056,680469,7906,2777,100877,1937404,3126,5,2772,0
Eubacterium_eligens_61678,700161342,700033797,11873,1280110,173334,846542,4505,1998,125044,2410817,3765,5,1991,2
Eubacterium_eligens_61678,ERR911964,SRR341698,12023,1228125,165729,812046,4701,1907,120542,2311756,3840,7,1899,1
Eubacterium_eligens_61678,700038072,700024752,13413,1276233,172345,843836,5078,2301,125073,2402508,3927,12,2287,2
Eubacterium_eligens_61678,SRR341706,700023720,20936,1048569,141953,693756,8195,2925,102897,1975185,3186,8,2916,1
Eubacterium_eligens_61678,SRR413628,SRR413614,18689,1016904,137587,672759,7381,2504,99818,1915384,3075,9,2493,2
Eubacterium_eligens_61678,ERR911964,700173086,19966,1051710,142728,696059,7959,2898,102853,1982159,3165,11,2886,1
Eubacterium_eligens_61678,700117625,700100312,18507,1278996,173000,845795,7099,3059,125197,2408249,3939,11,3044,4
Eubacterium_eligens_61678,700024752,SRR413575,18140,1225772,165382,810516,7001,2839,120353,2307427,3768,10,2828,1
Eubacterium_eligens_61678,700105237,ERR912080,12932,1290995,174418,853543,4972,2237,126441,2430102,4086,5,2231,1
Eubacterium_eligens_61678,700021306,700173086,21469,1065993,144716,705438,8484,3180,104191,2008922,3201,9,3168,3
Eubacterium_eligens_61678,ERR912080,700161945,11518,1289402,174237,852509,4360,2014,126301,2427176,4050,5,2008,1
Eubacterium_eligens_61678,ERR911962,ERR912116,9770,1285918,173698,850277,3791,1680,125910,2420793,4128,6,1673,1
Eubacterium_eligens_61678,700117625,ERR911983,18957,1077762,146469,713113,7372,2892,105397,2030678,3264,7,2885,0
Eubacterium_eligens_61678,700117755,700171066,18945,1113461,151337,736652,7395,2936,108833,2097754,3369,12,2921,3
Eubacterium_eligens_61678,SRR413624,700116201,17910,1216904,164374,804647,7022,2753,119370,2290800,3771,7,2743,3
Eubacterium_eligens_61678,ERR912180,700117184,18565,1085653,147636,718223,7210,2836,106313,2045077,3279,13,2819,4
Eubacterium_eligens_61678,ERR912080,700161945,11518,1289402,174237,852509,4360,2014,126301,2427176,4050,5,2008,1
Eubacterium_eligens_61678,SRR413613,ERR911995,16976,1218886,164467,806003,6562,2815,119576,2294680,3753,10,2803,2
Eubacterium_eligens_61678,SRR341637,ERR912171,15836,1192701,160505,788701,6163,2556,117001,2245370,3732,8,2545,3
