species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_thetaiotaomicron_56941,700014486,700015922,2056,2811291,407825,1833016,853,364,32858,145390,813,289,374967,1687626,40,75,245553,4809252,8073,20365,415088,717,2,73,0,0,289,0
Bacteroides_thetaiotaomicron_56941,700014486,700033502,1838,2816126,408616,1836156,740,344,31200,138131,709,272,377416,1698025,31,72,246836,4839046,8193,19370,394315,708,2,70,0,0,272,0
Bacteroides_thetaiotaomicron_56941,700014486,700097906,2791,2828932,410643,1844493,1130,519,39214,174077,1082,388,371429,1670416,48,131,242452,4760642,8154,24848,496537,846,3,128,0,2,386,0
Bacteroides_thetaiotaomicron_56941,700014486,700106876,2361,2828702,410542,1844321,975,405,37611,166701,944,329,372931,1677620,31,76,243940,4780739,8181,23407,475865,831,2,74,0,1,328,0
Bacteroides_thetaiotaomicron_56941,700014486,700161342,1985,2811543,408027,1833193,791,393,28294,124294,754,296,379733,1708899,37,97,248348,4870117,8232,17362,354884,636,3,94,0,1,294,1
Bacteroides_thetaiotaomicron_56941,700014486,700171648,197,2810502,406898,1832338,58,70,2738,12562,48,23,404160,1819776,10,47,264389,5185954,8985,1902,35712,72,1,46,0,0,23,0
Bacteroides_thetaiotaomicron_56941,700014486,700172279,1917,2806586,407172,1829889,772,362,31300,138161,744,273,375872,1691728,28,89,245944,4820993,8247,19240,394523,720,4,85,0,0,273,0
Bacteroides_thetaiotaomicron_56941,700014486,ERR912034,4504,2830004,410721,1845154,1868,764,51391,227840,1822,622,359330,1617314,46,142,235065,4608945,7932,32394,650064,1062,1,141,0,2,620,0
Bacteroides_thetaiotaomicron_56941,700015250,700024086,3678,2813068,408296,1834150,1557,631,42848,191869,1536,543,365448,1642281,21,88,238566,4680387,7890,27368,547300,939,0,88,0,2,541,0
Bacteroides_thetaiotaomicron_56941,700015250,700122408,4506,2808574,407858,1831310,1854,754,58605,258272,1830,670,349253,1573038,24,84,228690,4482903,7521,36554,737071,1191,2,82,0,2,667,1
