species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_coprocola_61586,700105991,SRR413575,18366,2127359,305595,1386964,7654,2803,214678,3939398,6816,11,2788,4
Bacteroides_coprocola_61586,700098932,SRR413628,18331,2128961,306316,1388036,7624,2850,214627,3942905,6576,13,2836,1
Bacteroides_coprocola_61586,SRR413628,SRR413625,16976,2126749,305814,1386434,7208,2444,214397,3938071,6834,8,2435,1
Bacteroides_coprocola_61586,700106694,ERR911965,22970,2050285,294668,1336535,9044,4783,206668,3796256,6681,26,4755,2
Bacteroides_coprocola_61586,700120572,SRR413641,15257,2143617,308072,1397487,6085,3053,216365,3969196,6900,14,3034,5
Bacteroides_coprocola_61586,700106694,700023113,16189,2063991,296659,1345440,5975,4106,208082,3821473,6765,23,4078,5
Bacteroides_coprocola_61586,700098932,ERR912118,16314,2123281,305404,1384284,6766,2710,214057,3932168,6627,13,2694,3
Bacteroides_coprocola_61586,700095058,700023188,17030,2134230,306803,1391326,6555,3622,215257,3951902,6819,26,3591,5
Bacteroides_coprocola_61586,700024318,SRR413607,16392,2135233,306909,1392069,6557,2965,215424,3953916,6867,12,2948,5
Bacteroides_coprocola_61586,SRR341706,700023113,18769,2126293,305477,1386143,7153,4118,214623,3936903,6903,17,4098,3
Bacteroides_coprocola_61586,SRR341700,700098932,17296,2134221,307108,1391436,6920,3290,215133,3952494,6681,16,3271,3
Bacteroides_coprocola_61586,700167107,700023113,18034,2138023,307237,1393796,7009,3818,215751,3958752,6885,19,3793,6
Bacteroides_coprocola_61586,SRR341653,SRR413587,17312,2102394,301921,1370702,7414,2339,212190,3893190,6726,6,2331,2
Bacteroides_coprocola_61586,SRR413626,700023188,20976,2131802,306235,1389796,8338,4058,215147,3947404,6837,23,4031,4
Bacteroides_coprocola_61586,ERR912118,700098267,17291,2114617,303976,1378477,6769,3656,213246,3915351,6834,27,3623,6
Bacteroides_coprocola_61586,SRR413625,700120572,18535,2129818,306321,1388527,7651,2978,214560,3944268,6753,7,2967,4
Bacteroides_coprocola_61586,SRR341700,SRR413593,7115,2150043,308965,1401592,2562,1955,216986,3980707,7083,13,1938,4
Bacteroides_coprocola_61586,SRR413619,SRR413641,19985,2123631,305183,1384458,8086,3651,214440,3932097,6837,12,3635,4
Bacteroides_coprocola_61586,SRR413624,ERR912132,18302,2108195,302794,1374368,7646,2818,212735,3903640,6729,9,2806,3
Bacteroides_coprocola_61586,SRR413587,700175331,20629,2131802,306368,1389760,8110,4019,215128,3947285,6867,23,3991,5
