species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Parabacteroides_merdae_56972,700014386,700023267,641,2405370,354302,1564456,139,354,221135,4464079,8154,11,343,0
Parabacteroides_merdae_56972,700014386,700095058,114,2407289,354794,1565766,23,63,221078,4468084,8136,1,62,0
Parabacteroides_merdae_56972,700014386,ERR912052,187,2409976,355146,1567489,45,103,221437,4472864,8166,2,101,0
Parabacteroides_merdae_56972,700016542,700097234,44,2379798,350772,1547835,8,33,218400,4417164,7941,2,31,0
Parabacteroides_merdae_56972,700016765,700024318,56,2379051,350411,1547272,8,40,218684,4415158,7974,1,39,0
Parabacteroides_merdae_56972,700016765,700117172,37,2391493,352311,1555408,6,24,219854,4438384,7986,1,23,0
Parabacteroides_merdae_56972,700023267,700032133,615,2407157,354582,1565602,138,345,221305,4467308,8193,11,334,0
Parabacteroides_merdae_56972,700023267,700033922,610,2407380,354586,1565759,136,336,221352,4467732,8193,11,325,0
Parabacteroides_merdae_56972,700023267,700038594,621,2407335,354584,1565726,132,355,221345,4467646,8187,12,342,1
Parabacteroides_merdae_56972,700023267,700095058,615,2404518,354209,1563935,136,346,220982,4462666,8157,12,334,0
Parabacteroides_merdae_56972,700023267,700105312,622,2407358,354591,1565746,136,350,221350,4467698,8190,11,338,1
Parabacteroides_merdae_56972,700023267,700111223,623,2403489,354117,1563266,132,352,220953,4460682,8163,11,341,0
Parabacteroides_merdae_56972,700023267,700113177,636,2407436,354599,1565799,143,353,221364,4467843,8190,14,339,0
Parabacteroides_merdae_56972,700023267,700117069,651,2406668,354513,1565292,136,370,221257,4466426,8193,13,355,2
Parabacteroides_merdae_56972,700023267,ERR911975,621,2407545,354632,1565858,127,359,221370,4468014,8190,12,347,0
Parabacteroides_merdae_56972,700023267,ERR912052,698,2407464,354609,1565812,158,391,221370,4467876,8190,13,378,0
Parabacteroides_merdae_56972,700024318,700117172,62,2380665,350687,1548310,8,45,218786,4418092,8052,0,45,0
Parabacteroides_merdae_56972,700024437,ERR912008,59,2215176,325943,1440485,16,33,204105,4109787,7563,0,32,1
