species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Bacteroides_cellulosilyticus_58046,700016456,ERR912197,73,2505815,360801,1634816,17,48,236601,4660137,7710,0,48,0
Bacteroides_cellulosilyticus_58046,700024234,700038158,137,2699269,389484,1761315,30,83,254217,5021574,8154,3,80,0
Bacteroides_cellulosilyticus_58046,700024866,700173086,144,2708420,391035,1767240,33,89,254977,5038442,8301,2,87,0
Bacteroides_cellulosilyticus_58046,700034565,700106465,45,2535814,365598,1654348,5,28,239136,4716201,7707,1,27,0
Bacteroides_cellulosilyticus_58046,700034565,ERR912090,61,2561226,369366,1671065,6,39,241413,4764006,7776,1,38,0
Bacteroides_cellulosilyticus_58046,700034565,ERR912179,78,2673710,385927,1744558,13,40,251903,4973716,8055,0,40,0
Bacteroides_cellulosilyticus_58046,700037738,ERR912018,92,2526579,363764,1648364,17,59,238500,4698798,7794,2,57,0
Bacteroides_cellulosilyticus_58046,700106465,ERR912090,32,2524758,363959,1647018,1,24,238101,4695189,7764,2,22,0
Bacteroides_cellulosilyticus_58046,700106465,ERR912179,53,2522299,363585,1645373,8,28,238066,4690268,7785,1,27,0
Bacteroides_cellulosilyticus_58046,ERR911955,ERR912096,79,2551222,367724,1664370,3,60,240385,4744877,7848,1,59,0
Bacteroides_cellulosilyticus_58046,ERR911970,ERR912018,97,2707929,390845,1766983,20,62,255020,5037661,8268,3,59,0
Bacteroides_cellulosilyticus_58046,ERR912090,ERR912179,63,2549499,367601,1663288,8,34,240549,4741461,7854,1,33,0
Bacteroides_cellulosilyticus_58046,ERR912176,mickey4-11-7-0_,87,2578364,371716,1682245,10,60,243036,4795701,7998,3,57,0
