species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Akkermansia_muciniphila_55290,ERR912146,700105685,13801,1506018,264158,975976,5816,3221,106566,2815980,5382,15,3204,2
Akkermansia_muciniphila_55290,SRR413564,ERR912070,16150,1476372,258677,956763,6916,3607,104474,2760646,5169,12,3593,2
Akkermansia_muciniphila_55290,ERR912128,ERR912119,22811,1540596,270528,998271,9642,5252,108892,2880224,5697,18,5229,5
Akkermansia_muciniphila_55290,ERR912076,700164354,11146,1603985,282109,1039350,4578,2909,113277,2998518,6255,7,2899,3
Akkermansia_muciniphila_55290,ERR912043,700108218,24721,1517136,266370,983290,10438,5677,107201,2837296,5373,20,5653,4
Akkermansia_muciniphila_55290,700117682,ERR912146,16786,1472130,257811,953888,7101,3853,104442,2752095,5127,16,3834,3
Akkermansia_muciniphila_55290,700171190,ERR912116,15906,1499971,263170,972150,6715,3755,106002,2805066,5382,12,3738,5
Akkermansia_muciniphila_55290,ERR912141,ERR912006,23602,1541483,270694,998931,9915,5434,108984,2882100,5709,16,5412,6
Akkermansia_muciniphila_55290,ERR911989,700172498,22390,1537247,269937,996176,9578,5079,108648,2874267,5613,13,5060,6
Akkermansia_muciniphila_55290,ERR912064,700013600,16645,1491107,261513,966236,7076,3856,105415,2788055,5238,23,3831,2
Akkermansia_muciniphila_55290,ERR912140,700106754,22529,1538757,270130,997101,9480,5204,108789,2876793,5721,16,5184,4
Akkermansia_muciniphila_55290,ERR912199,ERR912141,23229,1538740,270140,997192,9950,5233,108782,2877214,5580,14,5213,6
Akkermansia_muciniphila_55290,700164159,700013600,16174,1479757,259383,958938,6919,3648,104582,2767111,5121,13,3633,2
Akkermansia_muciniphila_55290,SRR413564,ERR912116,14816,1491026,261291,966211,6243,3410,105499,2787773,5361,13,3396,1
Akkermansia_muciniphila_55290,ERR911981,ERR912054,22889,1546948,271663,1002423,9715,5271,109402,2892113,5754,15,5248,8
Akkermansia_muciniphila_55290,ERR912108,ERR911967,11569,1601337,281599,1037705,4809,3017,113088,2993745,6282,14,2999,4
Akkermansia_muciniphila_55290,ERR912182,ERR912176,15223,1510366,265029,978720,6451,3517,106768,2824004,5388,13,3500,4
Akkermansia_muciniphila_55290,ERR911967,700098669,22321,1460005,254845,945711,9334,4923,103802,2728105,5226,19,4897,7
Akkermansia_muciniphila_55290,ERR912047,ERR912171,23485,1548081,271880,1003150,9962,5373,109361,2894305,5784,18,5349,6
Akkermansia_muciniphila_55290,ERR912047,ERR912054,11358,1605687,282379,1040496,4710,2901,113422,3001751,6315,7,2892,2
