species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Roseburia_intestinalis_56239,700023720,700163772,8968,1858188,261338,1213435,3388,2166,187303,3445871,7131,10,2149,7
Roseburia_intestinalis_56239,ERR912084,ERR912068,8864,1815681,255295,1185598,3417,2199,183643,3366149,7002,9,2183,7
Roseburia_intestinalis_56239,donald4-11-0-0_,ERR911968,5617,1195962,166426,780580,2066,1371,123465,2213418,4857,9,1361,1
Roseburia_intestinalis_56239,SRR413653,700107059,8482,1645025,232125,1074614,3344,1942,165071,3052702,6069,7,1933,2
Roseburia_intestinalis_56239,700037539,700023267,8995,1855495,260653,1211595,3350,2228,187056,3440679,7050,15,2209,4
Roseburia_intestinalis_56239,700023919,700024509,9170,1839399,259210,1201122,3619,2102,185113,3411185,7068,8,2090,4
Roseburia_intestinalis_56239,ERR912183,700023267,9539,1865407,262406,1218278,3683,2242,187779,3460005,7050,15,2220,7
Roseburia_intestinalis_56239,ERR912198,700116730,7892,1533887,213325,1001425,2972,1877,157156,2840864,6255,11,1866,0
Roseburia_intestinalis_56239,SRR413622,700023720,9559,1790179,251500,1169071,3538,2310,180535,3319778,6900,8,2300,2
Roseburia_intestinalis_56239,donald3-11-30-0_,ERR912163,9169,1874564,263581,1224301,3499,2170,188890,3476849,7164,15,2152,3
Roseburia_intestinalis_56239,ERR911968,700021306,6463,1239852,173204,809129,2365,1599,127695,2294847,4845,8,1589,2
Roseburia_intestinalis_56239,ERR912084,700107059,9766,1903357,268294,1243168,3846,2258,191396,3530917,7191,8,2244,6
Roseburia_intestinalis_56239,700102356,SRR341650,9362,1791690,249722,1169334,3552,2205,183155,3317815,7032,11,2191,3
Roseburia_intestinalis_56239,ERR911994,700021306,3357,647941,89107,422915,1238,838,67862,1198102,2781,4,830,4
Roseburia_intestinalis_56239,SRR341713,700107059,8279,387591,52706,253929,3409,1043,40342,719828,1617,1,1042,0
Roseburia_intestinalis_56239,700024234,700023919,9560,1918297,271075,1252957,3678,2263,192326,3559168,7377,12,2245,6
Roseburia_intestinalis_56239,ERR912112,700117938,7908,1672729,231349,1091989,2994,1905,171800,3097441,6726,9,1890,6
Roseburia_intestinalis_56239,SRR341650,700117938,8092,1604636,219876,1046935,3036,1944,166987,2967167,6651,9,1932,3
Roseburia_intestinalis_56239,ERR912112,700024086,7530,1689236,234756,1102443,2757,1949,173137,3127604,6588,8,1935,6
Roseburia_intestinalis_56239,700024086,ERR912064,7781,1723713,239788,1124922,2925,1933,176488,3191504,6774,11,1918,4
