species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Faecalibacterium_cf_62236,700163699,ERR912182,9105,965328,170763,623460,3955,1693,60070,1806371,3939,3,1690,0
Faecalibacterium_cf_62236,700024789,SRR413661,10303,945718,167486,611177,4467,2102,58450,1771406,3675,5,2096,1
Faecalibacterium_cf_62236,700117000,ERR912182,8745,955874,169030,617333,3763,1688,59669,1788358,3972,4,1684,0
Faecalibacterium_cf_62236,700173023,SRR413665,8956,955182,168879,617331,3904,1689,59150,1789039,3804,5,1684,0
Faecalibacterium_cf_62236,700165052,700175181,8417,910967,159954,588165,3585,1609,57449,1703158,3888,8,1601,0
Faecalibacterium_cf_62236,700171727,SRR413624,9306,983659,174798,635772,4138,1735,60625,1842893,3798,1,1734,0
Faecalibacterium_cf_62236,SRR413606,700037042,8390,916031,160599,592283,3668,1614,57241,1715891,3717,3,1609,2
Faecalibacterium_cf_62236,700033989,700113975,7661,227579,39875,146959,3537,1047,14183,425803,891,2,1044,1
Faecalibacterium_cf_62236,700015181,SRR413768,8796,959989,170149,620028,3882,1710,59494,1796795,3795,2,1706,2
Faecalibacterium_cf_62236,700163811,700037042,8934,985871,175147,637132,3893,1756,60868,1846571,3957,3,1750,3
Faecalibacterium_cf_62236,700117000,700103477,8642,948337,167724,612291,3753,1649,59292,1773681,3900,4,1644,1
Faecalibacterium_cf_62236,700165052,ERR912088,8412,911669,160128,588613,3593,1614,57495,1704420,3924,3,1611,0
Faecalibacterium_cf_62236,SRR413607,SRR413665,8065,895983,156754,579484,3459,1501,56034,1678818,3600,2,1498,1
Faecalibacterium_cf_62236,SRR413606,ERR912099,8648,915773,160663,592099,3749,1599,57222,1715328,3747,3,1594,2
Faecalibacterium_cf_62236,SRR341636,SRR413661,10395,879686,154570,568339,4454,2160,54923,1646725,3369,6,2150,4
Faecalibacterium_cf_62236,700103477,700117000,8642,948337,167724,612291,3753,1649,59292,1773681,3900,4,1644,1
Faecalibacterium_cf_62236,700033989,SRR413768,7600,226969,39725,146529,3496,1051,14171,424513,903,2,1046,3
Faecalibacterium_cf_62236,SRR413667,ERR912096,9204,968837,171719,626057,4060,1769,59928,1814397,3846,3,1764,2
Faecalibacterium_cf_62236,700117828,SRR413667,9026,967438,171486,625142,3964,1784,59858,1811683,3885,3,1779,2
Faecalibacterium_cf_62236,700175181,SRR413648,9329,985529,175057,636929,4070,1800,60835,1846097,3855,6,1793,1
