species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_massiliensis_44749,700013672,700015250,891,2297385,321997,1494786,328,227,21492,99485,285,106,300505,1395301,43,121,213710,3964078,8115,15221,282706,528,1,120,0,1,105,0
Bacteroides_massiliensis_44749,700013672,700015415,835,2295537,321743,1493554,295,239,19367,88048,232,115,302376,1405506,63,124,215699,3992632,8187,13130,250570,444,1,123,0,1,114,0
Bacteroides_massiliensis_44749,700013672,700021123,465,2297342,321963,1494748,149,157,8148,36397,119,47,313815,1458351,30,110,223455,4143129,8469,5498,103528,165,1,109,0,0,47,0
Bacteroides_massiliensis_44749,700013672,700023113,551,2297603,322013,1494917,183,170,13015,59066,155,63,308998,1435851,28,107,220013,4079185,8355,8988,167913,297,0,107,0,1,62,0
Bacteroides_massiliensis_44749,700013672,700024024,626,2295576,321655,1493604,198,208,11533,52939,159,81,310122,1440665,39,127,220695,4092912,8388,8119,150425,273,2,125,0,1,80,0
Bacteroides_massiliensis_44749,700013672,700024141,647,2298542,322186,1495526,218,196,14483,65518,180,77,307703,1430008,38,119,219188,4062499,8337,9855,186369,330,1,118,0,1,76,0
Bacteroides_massiliensis_44749,700013672,700024711,670,2289267,320751,1489457,227,209,13912,62785,184,96,306839,1426672,43,113,218824,4052885,8307,9418,178622,315,2,111,0,1,95,0
Bacteroides_massiliensis_44749,700013672,700033435,1189,2290507,321027,1490322,424,305,38149,174901,398,208,282878,1315421,26,97,201893,3736669,7701,26401,497357,945,0,97,0,2,206,0
Bacteroides_massiliensis_44749,700013672,700034166,1203,2292555,321431,1491633,422,321,39428,182436,370,223,282003,1309197,52,98,201086,3718912,7593,27365,518944,999,1,97,0,2,221,0
Bacteroides_massiliensis_44749,700013672,700035533,341,2293613,321497,1492300,114,107,7671,35557,94,58,313826,1456743,20,49,223122,4138686,8421,5431,101003,237,0,49,0,0,58,0
Bacteroides_massiliensis_44749,700013672,700035861,879,2288976,321321,1489436,302,239,21650,97989,253,123,299671,1391447,49,116,213020,3953530,7791,14874,278568,525,0,116,0,1,122,0
Bacteroides_massiliensis_44749,700013672,700037303,640,2298483,322183,1495500,205,220,11544,52920,166,78,310639,1442580,39,142,220930,4098434,8376,8114,150373,273,3,139,0,1,77,0
Bacteroides_massiliensis_44749,700013672,700095647,451,2297164,321942,1494627,135,159,10308,47292,118,86,311634,1447335,17,73,221856,4111770,8379,7108,134483,285,1,72,0,2,84,0
Bacteroides_massiliensis_44749,700013672,700097234,865,2284230,320552,1486311,319,220,20418,94301,275,103,300134,1392010,44,117,212975,3955135,7920,14391,268029,483,2,115,0,1,102,0
Bacteroides_massiliensis_44749,700013672,700098267,821,2287352,320701,1488301,288,236,15149,69634,249,97,305552,1418667,39,139,217158,4030701,8142,10605,197958,339,1,138,0,1,96,0
Bacteroides_massiliensis_44749,700013672,700098867,614,2294574,321819,1493007,205,190,12496,57381,163,78,309323,1435626,42,112,219735,4078869,8274,8827,163037,279,1,111,0,1,77,0
Bacteroides_massiliensis_44749,700013672,700105882,523,2298380,322179,1495453,176,171,13419,61891,127,60,308760,1433562,49,111,219757,4072589,8340,9275,176095,303,0,111,0,1,59,0
Bacteroides_massiliensis_44749,700013672,700105940,695,2291358,321305,1490907,241,210,18777,85471,197,92,302528,1405436,44,118,215493,3992646,8169,12800,243145,468,1,117,0,2,90,0
Bacteroides_massiliensis_44749,700013672,700107189,1133,2256869,314905,1468320,383,296,32254,149809,341,191,282651,1318511,42,105,203021,3744952,7560,22719,425925,783,1,104,0,0,191,0
Bacteroides_massiliensis_44749,700013672,700164249,896,2297430,322061,1494806,324,236,20596,94512,281,105,301465,1400294,43,131,214671,3978057,8154,14271,268758,507,2,129,0,1,104,0
Bacteroides_massiliensis_44749,700013672,700173320,949,2294786,321767,1493127,325,269,23176,107413,284,138,298591,1385714,41,131,212287,3936788,8067,16372,305288,579,2,129,0,0,138,0
Bacteroides_massiliensis_44749,700013672,700175331,566,2297367,321967,1494773,177,192,12354,55853,147,74,309613,1438920,30,118,220525,4087865,8370,8440,158828,291,1,117,0,1,73,0
Bacteroides_massiliensis_44749,700013672,ERR912165,631,2287224,320550,1488130,203,210,11527,52850,164,76,309023,1435280,39,134,219728,4077781,8331,8097,150183,270,2,132,0,1,75,0
Bacteroides_massiliensis_44749,700013672,ERR912195,105,2299163,322284,1495955,24,63,69,310,5,2,322215,1495645,19,61,229056,4249212,8667,42,888,0,1,60,0,0,2,0
Bacteroides_massiliensis_44749,700013672,SRR2822459,630,2296823,321992,1494427,193,216,11390,52221,155,76,310602,1442206,38,140,220856,4097416,8346,8010,148380,273,0,140,0,1,75,0
Bacteroides_massiliensis_44749,700013672,SRR413589,876,2294662,321634,1493000,313,226,21226,98319,281,105,300408,1394681,32,121,213648,3962313,8082,15043,279389,525,1,119,1,1,104,0
Bacteroides_massiliensis_44749,700015250,700015415,982,2305955,323205,1500381,360,265,22077,101321,295,120,301128,1399060,65,145,214806,3974241,8133,15104,288289,570,2,143,0,0,120,0
Bacteroides_massiliensis_44749,700015250,700021123,770,2306865,323306,1500996,280,208,15946,73922,244,80,307360,1427074,36,128,218611,4054316,8295,11295,210081,390,1,127,0,0,80,0
Bacteroides_massiliensis_44749,700015250,700023113,534,2309502,323679,1502721,190,157,11023,51250,163,53,312656,1451471,27,104,222336,4123611,8466,7836,145650,264,1,103,0,0,53,0
Bacteroides_massiliensis_44749,700015250,700024024,511,2307484,323326,1501397,176,152,10049,46997,145,51,313277,1454400,31,101,222811,4131902,8487,7200,133539,252,3,98,0,0,51,0
Bacteroides_massiliensis_44749,700015250,700024141,806,2309165,323668,1502480,283,227,17701,81493,241,93,305967,1420987,42,134,217848,4036827,8286,12272,231751,456,2,132,0,0,93,0
Bacteroides_massiliensis_44749,700015250,700024711,659,2299799,322225,1496368,244,179,14684,68019,208,82,307541,1428349,36,97,218960,4057789,8298,10355,193309,393,3,94,0,0,82,0
Bacteroides_massiliensis_44749,700015250,700033435,1404,2301622,322607,1497598,499,362,47692,219980,455,236,274915,1277618,44,126,196124,3629227,7503,33281,625456,1203,0,126,0,2,234,0
Bacteroides_massiliensis_44749,700015250,700034166,1368,2303798,323003,1499014,504,354,43754,202985,457,237,279249,1296029,47,117,199091,3681493,7503,30482,577312,1161,2,115,0,1,236,0
Bacteroides_massiliensis_44749,700015250,700035533,1011,2304280,323012,1499302,371,261,25219,116921,324,142,297793,1382381,47,119,211726,3927332,8085,17909,332224,630,1,118,0,1,141,0
Bacteroides_massiliensis_44749,700015250,700035861,887,2299938,322851,1496606,327,205,20928,95213,285,111,301923,1401393,42,94,214601,3981730,7848,14393,270703,543,1,93,0,0,111,0
Bacteroides_massiliensis_44749,700015250,700037303,535,2308923,323643,1502343,187,169,10050,46901,158,54,313593,1455442,29,115,222943,4134911,8472,7170,133281,252,4,111,0,0,54,0
